编号	称号	名字	稀有度	种类	属性	阵营	类型	武器	所属	实装日期
034001	お仕えしますワン	カティア	★2	常驻卡	火	魔族	SPD	打击	新星学园	2023.07.07
035001	炎銃のバンデッド	セナリィ	★1	常驻卡	火	人族	ATK	打击	新星学园	2023.07.07
037001	ふわふわスイート	サラン	★2	常驻卡	光	人族	DEF	斩击	新星学园	2023.07.07
041001	トラップボマー	ネーゼマイン	★3	常驻卡	暗	神族	SUP	魔法	新星学园	2023.07.07
047001	一意専心	メルエル	★3	常驻卡	光	神族	ATK	打击	新星学园	2023.07.07
049001	善哉童子	紅明	★2	常驻卡	雷	魔族	HEAL	打击	新星学园	2023.07.07
050001	ヒール＋ペイン	フロレンシア	★1	常驻卡	暗	神族	HEAL	打击	新星学园	2023.07.07
054001	魔を断つ聖剣	ユーリス	★3	常驻卡	光	神族	ATK	斩击	新星学园	2023.07.07
056001	元気溌剌☆盾乙女	アム	★3	常驻卡	光	人族	DEF	魔法	流星学园附属	2023.07.07
062001	星選の名探偵	ジュエリー	★1	常驻卡	光	人族	SUP	打击	流星学园	2023.07.07
064001	ブラッディマリー	マリーベル	★1	常驻卡	暗	人族	ATK	打击	新星学园	2023.07.07
065001	紫薔薇の聖女	イレーナ	★3	常驻卡	暗	人族	HEAL	斩击	流星学园	2023.07.07
042001	蒼炎の雛天使	フェニエル	★2	活动卡	火	神族	ATK	斩击	流星学园	2023.07.11
048001	宵闇の極星	マハムート	★3	常驻卡	火	魔族	SUP	打击	新星学园	2023.07.11
036001	白昼の極星	ヒルディオーネ	★3	常驻卡	水	神族	ATK	打击	流星学园	2023.07.17
010001	“境界”を護る者	マグダレナ	★3	常驻卡	光	神族	HEAL	魔法	守护天使	2023.07.21
027001	正義のハッカー	コハルコ	★2	常驻卡	光	人族	SUP	打击	新星学园	2023.07.21
011002	夏もキミの隣で	マトイ	★2	活动卡	光	人族	HEAL	斩击	新星学园	2023.07.31
059001	リゾートメイカー	リップル	★3	常驻卡	水	神族	DEF	魔法	新星学园	2023.07.31
001002	渚の星徒会長	フィオナ	★3	常驻卡	水	人族	ATK	魔法	流星学园	2023.08.07
002002	夏のお姉ちゃん♪	サーシャ	★3	常驻卡	暗	魔族	SPD	魔法	新星学园	2023.08.11
008002	狙い撃ちサマー	アナ	★3	常驻卡	暗	神族	SUP	打击	新星学园	2023.08.11
040001	イタズラ風の魔女	アイリーン	★3	活动卡	雷	魔族	SUP	魔法	星云	2023.08.21
045001	計算された旋律	エスメラルダ	★3	常驻卡	水	魔族	HEAL	魔法	流星学园	2023.08.21
039001	昏き夜の魔女	イニシュ	★3	常驻卡	暗	魔族	ATK	斩击	星云	2023.08.30
053001	水鏡の魔女	ウェンディ	★2	活动卡	水	魔族	DEF	魔法	星云	2023.08.30
052001	冷徹なる司令官	セドナ	★3	常驻卡	火	魔族	ATK	魔法	星云	2023.09.05
022001	歩く図書館	モネ	★3	常驻卡	火	人族	SUP	魔法	新星学园	2023.09.11
038001	命紡ぐ灼炎	イクシリオン	★3	常驻卡	火	神族	ATK	斩击	新星学园	2023.09.11
051001	星雲の支配者	クラウディア	★3	常驻卡	光	魔族	ATK	魔法	星云	2023.09.20
028001	雷弓の追跡者	トマル	★2	活动卡	雷	人族	ATK	打击	流星学园附属	2023.09.30
043001	幸運の魔法少女	サチ	★3	常驻卡	水	魔族	SUP	魔法	流星学园附属	2023.09.30
015001	命脈の守護天使	アルモタヘル	★3	常驻卡	火	神族	SPD	斩击	守护天使	2023.10.07
044001	悪の終末兵器	プリムラ	★3	常驻卡	水	魔族	ATK	打击	流星学园附属	2023.10.07
063001	小さき陽炎の魔女	カヤ	★3	常驻卡	火	魔族	SPD	斩击	星云	2023.10.13
037002	カボチャのお姫様	サラン	★3	常驻卡	雷	人族	ATK	魔法	新星学园	2023.10.20
041002	悪戯な赤ずきん	ネーゼマイン	★3	常驻卡	雷	神族	SUP	魔法	新星学园	2023.10.20
032001	暗闇に呪われし者	ウィステリア	★3	常驻卡	暗	魔族	ATK	魔法	新星学园	2023.10.31
057001	異郷の占星術師	トリシャ	★3	常驻卡	暗	魔族	SUP	魔法	无	2023.10.31
012001	マスターメイド	キリカ	★3	常驻卡	雷	人族	SPD	打击	无	2023.11.06
061001	ドールズマスター	マリオン	★2	常驻卡	雷	魔族	SUP	打击	无	2023.11.06
007002	自称隠れ天使	ルリエル	★2	活动卡	水	神族	ATK	魔法	流星学园	2023.11.14
067001	嵐を翔る射手	聖沙	★3	限定卡	雷	人族	SPD	魔法	流星学园	2023.11.14
068001	騎士皇女	リア	★3	限定卡	光	人族	SUP	斩击	流星学园	2023.11.21
024002	聖鈴のトナカイ	ヨミ	★3	常驻卡	火	魔族	SUP	魔法	新星学园	2023.11.30
049002	元祖・三太九郎	紅明	★2	活动卡	火	魔族	SPD	打击	新星学园	2023.11.30
069001	万成の幼天使	セシア	★3	常驻卡	光	神族	ATK	魔法	守护天使/流星学园附属	2023.12.07
046001	氷剣藤花	閃	★3	活动卡	水	人族	SPD	斩击	新星学园	2023.12.13
066001	さすらいの破天荒	ラティエ	★3	常驻卡	雷	人族	DEF	斩击	流星学园	2023.12.13
023002	純白のシスター	シャロン	★3	常驻卡	水	神族	ATK	斩击	新星学园	2023.12.21
065002	ナターレの黒聖女	イレーナ	★3	常驻卡	水	人族	SUP	魔法	流星学园	2023.12.21
005002	新春アクセル	ソフィア	★2	活动卡	暗	魔族	HEAL	魔法	流星学园	2023.12.29
070001	雷薙の晴天使	ウズメイア	★3	常驻卡	雷	神族	SUP	斩击	流星学园	2023.12.29
003002	招福の明星	ヴィーナス	★3	限定卡	雷	人族	ATK	魔法	新星学园	2024.01.01
058001	舞うは九浄の桜花	ヘレナ	★3	限定卡	暗	人族	ATK	斩击	新星学园	2024.01.01
071001	マッドクーガー	キサナ	★3	常驻卡	火	魔族	ATK	打击	坍缩星	2024.01.11
072001	ちびっこ風紀委員	ミア	★3	常驻卡	火	人族	SPD	斩击	新星学园	2024.01.11
073001	空間の魔女	リノ	★3	常驻卡	水	魔族	SUP	魔法	无	2024.01.20
074001	お転婆バサラ姫	パルミエ	★3	常驻卡	水	人族	SPD	魔法	新星学园	2024.01.31
076001	清澄の雛騎士	モナカ	★2	活动卡	水	人族	SPD	斩击	新星学园	2024.01.31
075001	天魔の闇騎士	シフォン	★3	常驻卡	暗	神族	ATK	斩击	新星学园	2024.02.07
019002	愛遁チョコギフト	せつな	★3	常驻卡	光	魔族	HEAL	魔法	新星学园	2024.02.13
077001	光速メイドスター	蘭美	★3	常驻卡	光	魔族	SPD	打击	新星学园	2024.02.13
020002	VR水着配信	ルルカ	★3	常驻卡	火	魔族	ATK	魔法	新星学园	2024.02.20
009002	チャームバニー	セーラ	★3	常驻卡	光	人族	ATK	打击	流星学园	2024.02.28
054002	カードプリンス	ユーリス	★2	活动卡	雷	神族	ATK	斩击	新星学园	2024.02.28
013002	ダイスシューター	ユウリ	★3	常驻卡	雷	魔族	SUP	打击	流星学园	2024.03.05
082001	星選の祓魔師	フェリシー	★3	常驻卡	雷	人族	ATK	打击	新星学园	2024.03.12
083001	暴虐の吸血鬼	ソフレ	★3	常驻卡	雷	魔族	ATK	魔法	流星学园	2024.03.12
060001	電撃熱唱の歌姫	レミカ	★3	常驻卡	雷	人族	HEAL	魔法	新星学园	2024.03.18
078001	光と再生の魔女	トリュファイナ	★3	常驻卡	光	魔族	HEAL	魔法	无	2024.03.22
079001	試練の守護天使	パテル	★3	常驻卡	暗	神族	SPD	斩击	守护天使	2024.03.31
081001	静粛なる祈り手	グロリア	★2	活动卡	光	神族	SUP	斩击	流星学园	2024.03.31
080001	燃え盛る炎の旗手	フラン	★3	常驻卡	火	神族	SUP	斩击	新星学园	2024.04.05
085001	境界の幼アバター	マグダレナ(ちぃ)	★3	常驻卡	水	神族	HEAL	魔法	守护天使/流星学园附属	2024.04.10
086001	命脈の幼アバター	アルモタヘル(ちぃ)	★3	常驻卡	水	神族	ATK	斩击	守护天使/流星学园附属	2024.04.10
051002	黄昏の姫君	クラウディア《黄昏》	★3	常驻卡	光	魔族	ATK	魔法	星云	2024.04.17
088001	ズタズタシスター	リーナ	★3	常驻卡	火	人族	ATK	斩击	坍缩星	2024.05.01
089001	執念深き猟犬	シアン	★2	活动卡	暗	魔族	SPD	斩击	新星学园	2024.05.01
087001	美の冒涜者	ヴァレリー	★3	常驻卡	光	人族	HEAL	打击	坍缩星	2024.05.07
014002	黄昏の超新星	トワ先生《黎明》	★3	常驻卡	暗	人族	ATK	魔法	新星学园	2024.05.11
090001	自称·妹魔王	メイプル	★3	常驻卡	暗	魔族	SUP	魔法	新星学园	2024.05.11
055001	漆黒槍の令嬢	エルデリーゼ	★3	常驻卡	暗	人族	SPD	斩击	流星学园附属	2024.05.20
001003	太陽の祝福	フィオナ	★3	常驻卡	雷	人族	ATK	魔法	流星学园	2024.05.31
012002	マリーメイデン	キリカ	★2	活动卡	光	人族	ATK	斩击	无	2024.05.31
030002	タイニーブライド	ナミエル	★3	常驻卡	火	神族	DEF	斩击	流星学园附属	2024.06.05
047002	一途アイドル	メルエル	★3	常驻卡	火	神族	ATK	斩击	新星学园	2024.06.11
060002	キュートスタイル	レミカ	★3	常驻卡	火	人族	HEAL	魔法	新星学园	2024.06.11
033002	金紗の覚醒騎士	アニュラス《星霊》	★3	常驻卡	暗	人族	ATK	斩击	流星学园	2024.06.19
004001	流星ライダー	アポロ	★3	限定卡	暗	人族	ATK	斩击	流星学园附属	2024.07.07
091001	霹靂の射手	梨緒	★3	限定卡	雷	人族	SPD	打击	新星学园	2024.07.07
092001	江户っ子巫女	ヒヨ	★3	常驻卡	光	人族	HEAL	斩击	新星学园	2024.07.12
093001	《境界》の從者	ミルフィー	★3	常驻卡	光	神族	SUP	打击	新星学园	2024.07.12
011003	絶対普遍の守り手	マトイ《纏雷》	★3	活动卡	雷	人族	DEF	斩击	新星学园	2024.07.18
048002	真夏の竜妃	マハムート	★3	常驻卡	火	魔族	ATK	打击	新星学园	2024.07.18
056002	サマーアイギス	アム	★3	常驻卡	火	人族	SUP	打击	流星学园	2024.07.23
003003	夏空の一番星	ヴィーナス	★3	常驻卡	水	人族	SPD	魔法	新星学园	2024.07.31
052002	炎天下の涼魔女	セドナ	★2	活动卡	光	魔族	ATK	魔法	星云	2024.07.31
026002	夏色マジカル☆	リーリア	★3	常驻卡	水	魔族	SUP	打击	新星学园/星云	2024.08.07
007003	初めての海	ルリエル	★3	常驻卡	雷	神族	ATK	魔法	流星学园	2024.08.14
038002	健全シーレジャー	イクシリオン	★3	常驻卡	雷	神族	ATK	斩击	新星学园	2024.08.14
032002	司書の夏休み	ウィステリア	★3	常驻卡	水	魔族	ATK	魔法	新星学园	2024.08.21
002003	アイシクルノヴァ	サーシャ《絶氷》	★3	常驻卡	水	魔族	ATK	斩击	新星学园	2024.08.30
095001	切願の魔法少女	シズハ	★2	活动卡	水	人族	SUP	魔法	流星学园附属	2024.08.30
044002	破滅の第二局	プリムラ《セカンド》	★3	常驻卡	光	魔族	ATK	魔法	流星学园附属	2024.09.06
096001	渇望の武闘天使	イングリッド	★3	常驻卡	暗	神族	ATK	斩击	坍缩星	2024.09.12
097001	智謀の黒き微笑み	ジュリエッテ	★3	常驻卡	暗	魔族	HEAL	打击	坍缩星	2024.09.12
094001	鶴翼の針妙	美鶴	★3	常驻卡	水	魔族	SPD	打击	新星学园	2024.09.20
098001	無邪気な天才	ヒマワリ	★3	常驻卡	暗	人族	SUP	斩击	流星学园附属	2024.09.30
099001	笑顔の合理主義者	ミウ	★2	活动卡	光	人族	SPD	打击	流星学园附属	2024.09.30
035002	悪即ブーステッド	セナリィ《女帝》	★3	常驻卡	暗	人族	DEF	打击	新星学园	2024.10.08
016002	はにかみチシャ猫	ヒトリ	★3	常驻卡	火	人族	ATK	魔法	新星学园	2024.10.14
100001	ソウルプリンセス	ジャクリーヌ	★3	常驻卡	火	魔族	SPD	魔法	新星学园	2024.10.14
101001	戦嵐の轟天使	シルヴィ	★3	常驻卡	雷	神族	SUP	打击	新星学园	2024.10.21
008003	煌炎の超天使	アナ《煌炎》	★3	常驻卡	火	神族	ATK	打击	新星学园	2024.10.31
102001	精錬の機甲天使	シュティレ	★2	活动卡	雷	神族	SPD	斩击	流星学园附属	2024.10.31
031002	極天アルケミスト	アニマ《極天》	★3	常驻卡	雷	魔族	SUP	魔法	新星学园	2024.11.06
103001	傲岸なる演出家	ロクサーナ	★3	常驻卡	水	魔族	HEAL	魔法	新星学园	2024.11.12
104001	变换のアクトレス	藍	★3	常驻卡	水	人族	ATK	斩击	新星学园	2024.11.12
105001	マッドウィッチ	シェシィーリエ	★3	常驻卡	暗	魔族	SPD	魔法	星云	2024.11.20
020003	聖夜のキャロル	ルルカ	★3	常驻卡	雷	魔族	SPD	魔法	新星学园	2024.11.29
069002	二代目·三太九郎	セシア	★2	活动卡	光	神族	HEAL	魔法	守护天使/流星学园附属	2024.11.29
042002	マッチ売りの天使	フェニエル	★3	常驻卡	光	神族	SUP	魔法	流星学园	2024.12.06
022002	水着センタ！？	モネ	★3	常驻卡	光	人族	ATK	魔法	新星学园	2024.12.12
059002	ワタシプレゼント	リップル	★3	常驻卡	光	神族	DEF	魔法	新星学园	2024.12.12
077002	バニーサンタ	蘭美	★3	限定卡	雷	魔族	ATK	打击	新星学园	2024.12.19
025002	銀盤に神楽舞姫	舞亜	★3	活动卡	暗	人族	SPD	斩击	流星学园	2024.12.27
057002	おみくじどうぞ	トリシャ	★3	常驻卡	火	魔族	SUP	魔法	无	2024.12.27
001004	初日の出を迎えて	フィオナ	★3	限定卡	光	人族	SPD	打击	流星学园	2025.01.01
084001	天恵の守護天使	オオヒメ	★3	限定卡	水	神族	SUP	斩击	守护天使	2025.01.01
090002	妹魔王增量中	メイプル	★2	活动卡	暗	魔族	ATK	斩击	新星学园	2025.01.13
106001	ソードマスター	ナナカ	★3	限定卡	火	魔族/人族	ATK	斩击	流星学园	2025.01.13
107001	碧水のミューズ	ロロット	★3	限定卡	水	神族	HEAL	魔法	流星学园	2025.01.20
029002	甘愛フレグランス	シャルレーヌ	★3	常驻卡	火	魔族	SUP	打击	流星学园	2025.01.31
070002	一菓♥入魂	ウズメイア	★3	常驻卡	火	神族	SPD	打击	流星学园	2025.01.31
111001	お人好し吸血鬼	ベアトリス	★3	常驻卡	暗	魔族	SUP	打击	新星学园/极星学园	2025.02.07
004003	フレイムフォーム	アポロ	★3	活动卡	火	人族	ATK	打击	流星学园附属	2025.02.17
109001	天才美少女藝術家	アルテ	★3	限定卡	光	人族	ATK	斩击	无	2025.02.17
110001	蒼海の国の元気娘	プトラ	★3	限定卡	水	人族	ATK	打击	无	2025.02.21
004002	ナギサフォーム	アボロ	★3	常驻卡	雷	人族	SUP	打击	流星学园附属	2025.02.28
009003	マリンガンナー	セーラ	★2	活动卡	暗	人族	SUP	打击	流星学园	2025.02.28
005003	さざ波に揺られて	ソフィア	★3	常驻卡	暗	魔族	SPD	魔法	流星学园	2025.03.06
116001	爆砕★破壊天使	メテオラ	★3	常驻卡	暗	神族	ATK	打击	坍缩星	2025.03.14
117001	小さき復讐者	エンジュ	★3	常驻卡	暗	魔族	SPD	打击	坍缩星	2025.03.14
118001	聖庭園の刺客	ナターシャ	★3	常驻卡	光	神族	SPD	斩击	新星学园	2025.03.21
035003	悪姫兎視たんたん	セナリィ	★2	活动卡	火	人族	HEAL	打击	新星学园	2025.03.31
041003	逆転ダイスロール	ネーゼマイン	★3	常驻卡	水	神族	SUP	魔法	新星学园	2025.03.31
036002	カジノスパイラル	ヒルディオーネ	★3	常驻卡	水	神族	DEF	魔法	流星学园	2025.04.07
062002	究愛の日傘探偵	ジュエリー《究明》	★3	常驻卡	光	人族	SUP	打击	流星学园	2025.04.11
119001	星選の大怪盗	ミネコ	★3	常驻卡	光	人族	ATK	打击	流星学园	2025.04.11
120001	若きプリンシパル	シノ	★3	常驻卡	水	人族	SUP	打击	新星学园	2025.04.18
061002	魔女を狩る魔女	マリオン《葬礼》	★2	活动卡	火	魔族	SPD	打击	星云	2025.04.30
121001	最後のコラプサー	レイラ	★3	限定卡	暗	人族	ATK	魔法	坍缩星	2025.04.30
027002	ウィッチレプリカ	コハルコ《光誕》	★3	常驻卡	光	魔族	SUP	魔法	新星学园	2025.05.07
049003	鉄扇公主	紅明《羅刹》	★3	常驻卡	雷	魔族	SUP	斩击	新星学园	2025.05.13
122001	斉天大聖	クーシェン	★3	常驻卡	雷	魔族	ATK	打击	流星学园附属	2025.05.13
123001	皇妃に仕える剣	リーエン	★3	常驻卡	火	魔族	SPD	斩击	无	2025.05.21
014003	水星の花嫁	トワ先生	★2	活动卡	火	人族	SUP	魔法	新星学园	2025.05.30
024003	巫女狐の嫁入り	ヨミ	★3	常驻卡	火	魔族	SUP	打击	新星学园	2025.05.30
077003	白うさぎの純情	蘭美	★3	常驻卡	水	魔族	SPD	打击	新星学园	2025.05.30
043002	最幸の真魔法少女	サチ《運命》	★3	常驻卡	光	魔族	SPD	魔法	流星学园附属	2025.06.12
126001	蒐集の魔女	トレジアソナ	★3	常驻卡	光	魔族	SUP	魔法	流星学园附属	2025.06.12
125001	グロウンヒーロー	アボロ(大人)	★3	限定卡	暗	人族	ATK	斩击	无	2025.06.20
001005	星を見るもの	フィオナ《魔王》	★3	限定卡	暗	魔族/人族	ATK	魔法	流星学园	2025.07.07
003004	ノヴァゴッデス	ヴィーナス《神光》	★3	限定卡	光	神族/人族	ATK	斩击	新星学园	2025.07.07
026003	青春レインボー	リーリア《彩愛》	★3	限定卡	雷	魔族	ATK	打击	新星学园/星云	2025.07.14
048003	畏怖たる寵妃	マハムート《超竜》	★3	限定卡	火	魔族	SUP	魔法	新星学园	2025.07.14
055002	夏の白き閃光	エルデリーゼ	★3	常驻卡	雷	人族	SPD	打击	流星学园附属	2025.07.18
066002	流れの水着剣士	ラティエ	★3	活动卡	暗	人族	ATK	斩击	流星学园	2025.07.18
037003	スイートサマー	サラン	★3	常驻卡	光	人族	ATK	打击	新星学园	2025.07.25
041004	渚のボムシェル	ネーゼマイン	★3	常驻卡	暗	神族	ATK	魔法	新星学园	2025.07.31
073002	トロピカルマザー	リノ	★2	活动卡	暗	人族	SUP	魔法	无	2025.07.31
128001	リトルポイズナー	リコリンフィア	★3	常驻卡	暗	神族	HEAL	魔法	流星学园附属	2025.08.07
057003	水着スレンズ	トリシャ	★3	常驻卡	火	魔族	SUP	魔法	无	2025.08.13
058002	輝きは白波の如く	ヘレナ	★3	常驻卡	火	人族	ATK	斩击	新星学园	2025.08.13
129001	穢れなき祈り	エステル	★3	常驻卡	水	人族	SUP	打击	极星学园	2025.08.22
007004	でんでん神楽	ルリエル	★3	常驻卡	水	神族	ATK	魔法	流星学园	2025.08.31
011004	二刀普遍の巫女	マトイ	★2	活动卡	水	人族	ATK	斩击	新星学园	2025.08.31
130001	禁言の陰陽師	ミヤハル	★3	常驻卡	水	人族	SUP	魔法	流星学园	2025.09.05
019003	桜花·紫桜忍軍	せつな《開花》	★3	常驻卡	雷	魔族	SPD	斩击	新星学园	2025.09.11
131001	元気溌刺狐古忍者	シズル	★3	常驻卡	雷	魔族	HEAL	魔法	无	2025.09.11
132001	聖域の制圧天使	ケイティ	★3	常驻卡	水	神族	ATK	斩击	无	2025.09.22
022003	物語を紡ぐ魔将	モネ《傲慢》	★3	常驻卡	暗	人族	SUP	魔法	新星学园	2025.09.30
032003	闇を支配せし魔将	ウィステリア《怠惰》	★3	活动卡	暗	魔族	ATK	魔法	新星学园	2025.09.30
133001	深渊書庫の管理者	リィベル	★3	常驻卡	暗	魔族	ATK	魔法	新星学园	2025.10.06
005004	温かシーツおばけ	ソフィア	★3	常驻卡	暗	魔族	SUP	斩击	流星学园	2025.10.14
070003	ガオガオ♥狼天使	ウズメイア	★3	常驻卡	暗	神族	SPD	打击	流星学园	2025.10.14
112001	極星の一番槍	チナ	★3	常驻卡	雷	人族	ATK	打击	极星学园	2025.10.22
034002	突っ走るワン！	カティア	★2	活动卡	光	魔族	SUP	打击	新星学园	2025.10.31
094002	鶴のチアエール	美鶴	★3	常驻卡	光	魔族	ATK	打击	新星学园	2025.10.31
093002	チアーエンジェル	ミルフィー	★3	常驻卡	光	神族	SPD	打击	新星学园	2025.11.06
036003	千变超化の戦姫	ヒルディオーネ《螺旋》	★3	常驻卡	水	神族	ATK	打击	流星学园	2025.11.11
042003	阿吽の不死鳥	フェニエル《鳳凰》	★3	常驻卡	火	神族	ATK	斩击	流星学园	2025.11.11
113001	竜焔の魔剣騎士	ジグ	★3	常驻卡	火	人族	ATK	斩击	新星学园	2025.11.18
135001	創世のアストレア	ルネア	★3	限定卡	光	神族	ATK	打击	流星学园	2025.11.25
004004	プリティドール	アポロ	★3	常驻卡	水	人族	ATK	斩击	流星学园附属	2025.11.30
033003	祝宴の始まり	アニュラス	★2	活动卡	雷	人族	SPD	打击	流星学园	2025.11.30
025003	聖夜パティシエ	舞亜	★3	常驻卡	暗	人族	HEAL	打击	流星学园	2025.12.05
030003	ハニーフロスティ	ナミエル	★3	常驻卡	光	神族	ATK	打击	流星学园附属	2025.12.12
056003	祝配の車力要塞	アム	★3	常驻卡	光	人族	SUP	打击	流星学园附属	2025.12.12
051003	生誕祭の聖衣	クラウディア	★3	限定卡	光	魔族	ATK	魔法	星云	2025.12.19
026004	初春プリズム	リーリア	★3	常驻卡	火	魔族	DEF	魔法	新星学园/星云	2025.12.29
095002	謹賀の甘酒	シズハ	★3	活动卡	火	人族	ATK	魔法	流星学园附属	2025.12.29
002004	雨のち新春晴れ	サーシャ	★3	限定卡	火	魔族	ATK	打击	新星学园	2026.01.01
008003	賀正ウェルカム	アナ	★3	限定卡	火	神族	HEAL	打击	新星学园	2026.01.01
155001	Magica2026	いろは	★3	限定卡	火	人族	ATK	魔法	无	2026.01.13
156001	Magica2026	花織	★3	限定卡	水	人族	HEAL	斩击	无	2026.01.13
158001	Magica2026	陽彩	★3	活动卡	暗	人族/魔族	SPD	斩击	无	2026.01.13
157001	Magica2026	ここあ	★3	限定卡	光	人族	SUP	打击	无	2026.01.19
065003	魅惑チョコラート	イレーナ	★3	常驻卡	雷	人族	SUP	魔法	流星学园	2026.01.30
136001	愛の伝道者	ウルスラ	★2	活动卡	雷	神族	SPD	打击	流星学园	2026.01.30
023003	スイートホワイト	シャロン	★3	常驻卡	雷	神族	HEAL	魔法	新星学园	2026.02.06
014004	恋は黄昏ビギナー	トワ先生	★3	常驻卡	水	人族	DEF	魔法	新星学园	2026.02.13
038003	想贈エクスタシー	イクシリオン	★3	常驻卡	水	神族	SPD	斩击	新星学园	2026.02.13
020004	手作り妹チョコ	ルルカ	★3	常驻卡	水	魔族	ATK	魔法	新星学园	2026.02.20
079002	フカヒレライダー	パテル	★3	常驻卡	水	神族	SUP	打击	守护天使/流星学园附属	2026.02.27
085002	すこっぷりちぃ	マグダレナ(ちぃ)	★3	活动卡	光	神族	SPD	打击	守护天使/流星学园附属	2026.02.27
086002	きゃぷちゃーみー	アルモタヘル(ちぃ)	★3	常驻卡	暗	神族	ATK	打击	守护天使/流星学园附属	2024.03.06
111002	お日様ヴァンプ	ベアトリス	★3	常驻卡	雷	魔族	ATK	打击	新星学园/极星学园	2024.03.13
118002	シーエージェント	ナターシャ	★3	常驻卡	雷	神族	SPD	打击	新星学园	2024.03.13
140001	星降らしの魔法使い	ノルトハウゼン	★3	限定卡	火	人族	ATK	魔法	无	2026.03.19
141001	炎宿せし宝石	ルルゥ	★3	限定卡	火	魔族	HEAL	魔法	无	2026.03.19
091002	清麗なる水着姿	梨緒	★3	常驻卡	雷	人族	SUP	打击	新星学园	2026.03.27
134001	蝶妖精の蒼騎士	グレイス	★3	常驻卡	水	魔族	SPD	打击	极星学园	2026.04.06
007005	星と花の騎士	ルリエル	★2	活动卡	光	神族	SPD	打击	流星学园	2026.04.13
142001	家族愛の象徴	ステラ	★3	限定卡	光	神族	SUP	打击	无	2026.04.13
143001	カリスマ藝術家	ラファエロ	★3	限定卡	光	人族	ATK	打击	无	2026.04.20
133002	書を照らす光	リィベル	★3	限定卡	光	魔族	SPD	魔法	新星学园	2026.04.26
137001	リトルアーネスト	レミカ(ちぃ)	★2	活动卡	水	人族	DEF	魔法	流星学园附属	2026.05.01
138001	勇恋邁進	メルエル(ちぃ)	★3	常驻卡	水	神族	ATK	斩击	流星学园附属	2026.05.01
139001	ハロードーター	ヴィーナス(ちぃ)	★3	常驻卡	水	人族	SPD	魔法	流星学园附属	2026.05.07
057004	道士のオトモダチ	トリシャ	★3	常驻卡	光	魔族	ATK	斩击	无	2026.05.13
093003	幻霊学級委員長	ミルフィー	★3	常驻卡	光	神族	HEAL	斩击	新星学园	2026.05.13
127001	紫炎の呪剣士	レティシア	★3	常驻卡	火	神族	ATK	斩击	极星学园	2026.05.22
043003	ダークトレジャー	サチ	★3	常驻卡	雷	魔族	SPD	魔法	流星学园附属	2026.05.31
